Perfil;Ancho;Alto;ColorVidrio;Acabado;Tarifa
7993;600;1000;SINVIDRIO;RECHAPADO;97,71
7993;600;2000;SINVIDRIO;RECHAPADO;131,01
7993;600;2500;SINVIDRIO;RECHAPADO;147,66
7993;400;500;TRANSPARENTE;LACADO;126,50
7993;400;1000;TRANSPARENTE;LACADO;139,01
7993;400;2000;TRANSPARENTE;LACADO;186,70
7993;400;2500;TRANSPARENTE;LACADO;210,55
7993;500;500;TRANSPARENTE;LACADO;130,65
7993;500;1000;TRANSPARENTE;LACADO;145,75
7993;500;2000;TRANSPARENTE;LACADO;198,61
7993;500;2500;TRANSPARENTE;LACADO;225,04
7993;600;500;TRANSPARENTE;LACADO;134,80
7993;600;1000;TRANSPARENTE;LACADO;152,48
7993;600;2000;TRANSPARENTE;LACADO;210,51
7993;600;2500;TRANSPARENTE;LACADO;239,53
7993;400;500;TRANSPARENTE;ANODIZADO;129,09
7993;400;1000;TRANSPARENTE;ANODIZADO;143,04
7993;400;2000;TRANSPARENTE;ANODIZADO;193,61
7993;400;2500;TRANSPARENTE;ANODIZADO;218,89
7993;500;500;TRANSPARENTE;ANODIZADO;133,53
7993;500;1000;TRANSPARENTE;ANODIZADO;150,06
7993;500;2000;TRANSPARENTE;ANODIZADO;205,80
7993;500;2500;TRANSPARENTE;ANODIZADO;233,67
7993;600;500;TRANSPARENTE;ANODIZADO;137,97
7993;600;1000;TRANSPARENTE;ANODIZADO;157,09
7993;600;2000;TRANSPARENTE;ANODIZADO;217,99
7993;600;2500;TRANSPARENTE;ANODIZADO;248,44
7993;400;500;TRANSPARENTE;RECHAPADO;134,97
7993;400;1000;TRANSPARENTE;RECHAPADO;152,19
7993;400;2000;TRANSPARENTE;RECHAPADO;209,30
7993;400;2500;TRANSPARENTE;RECHAPADO;237,86
7993;500;500;TRANSPARENTE;RECHAPADO;140,07
7993;500;1000;TRANSPARENTE;RECHAPADO;159,87
7993;500;2000;TRANSPARENTE;RECHAPADO;222,15
7993;500;2500;TRANSPARENTE;RECHAPADO;253,29
7993;600;500;TRANSPARENTE;RECHAPADO;145,16
7993;600;1000;TRANSPARENTE;RECHAPADO;167,55
7993;600;2000;TRANSPARENTE;RECHAPADO;234,99
7993;600;2500;TRANSPARENTE;RECHAPADO;268,72
7993;400;500;COLORMIX01;LACADO;133,71
7993;400;1000;COLORMIX01;LACADO;156,86
7993;400;2000;COLORMIX01;LACADO;196,77
7993;400;2500;COLORMIX01;LACADO;223,13
7993;500;500;COLORMIX01;LACADO;139,77
7993;500;1000;COLORMIX01;LACADO;167,23
7993;500;2000;COLORMIX01;LACADO;214,02
7993;500;2500;COLORMIX01;LACADO;244,31
7993;600;500;COLORMIX01;LACADO;145,83
7993;600;1000;COLORMIX01;LACADO;177,60
7993;600;2000;COLORMIX01;LACADO;231,28
7993;600;2500;COLORMIX01;LACADO;265,48
7993;400;500;COLORMIX01;ANODIZADO;136,30
7993;400;1000;COLORMIX01;ANODIZADO;160,88
7993;400;2000;COLORMIX01;ANODIZADO;203,67
7993;400;2500;COLORMIX01;ANODIZADO;231,47
7993;500;500;COLORMIX01;ANODIZADO;142,65
7993;500;1000;COLORMIX01;ANODIZADO;171,54
7993;500;2000;COLORMIX01;ANODIZADO;221,21
7993;500;2500;COLORMIX01;ANODIZADO;252,93
7993;600;500;COLORMIX01;ANODIZADO;148,99
